title,thumbnail,description,publishedAt,tags
"Buy This Aston Martin Vanquish Zagato Shooting Brake, Or You'll Never Know True Happiness","https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/034d0b0506d0beb22b117a994ef8a60b.png","Most cars are little more than practical transportation that gets people from point A to point B. Far fewer cars could be considered rolling works of art, and only a handful combine the two into rolling art that’s also practical enough that you could conceiva…",2024-11-18T18:15:00Z,[]
A Guide to Awkward Holiday Conversations,https://ritholtz.com/wp-content/uploads/2024/11/NVDIA.png,"Callie Cox is the Chief Market Strategist at RWM. She regularly posts at Optimistic Callie. (Subscribe, its great and free!) This is her first post here, and it’s perfect for the holiday weekend. Enjoy! Hey hey, happy holiday-shortened week! I don’t know abou…",2024-11-28T16:00:16Z,['Ark']
Transcript: Corey Hoffstein on Return Stacking,https://ritholtz.com/wp-content/uploads/2023/02/Mib-tile.png,"The transcript from this week’s, MiB: Corey Hoffstein on Return Stacking, is below. You can stream and download our full conversation, including any podcast extras, on Apple Podcasts, Spotify, YouTube, and Bloomberg. All of our earlier podcasts on your favori…",2024-11-25T13:30:36Z,"['Core', 'Kin']"
"Unboxing: The User-Friendly Yet Secure Crypto Wallet, Ledger Stax",https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2024%2F11%2F07%2Fledger-stax-crypto-wallet-unboxing-video-tw.jpg?w=1080&cbr=1&q=90&fit=max,"The latest generation of Ledger’s digital asset security has been centered around the release of the innovative Ledger Stax and Ledger Flex. Of the two wallet-style devices, the Ledger Stax model – revealed first in 2022 – has pioneered the brand’s secure tec…",2024-11-28T14:48:12Z,"['FLEX', 'Mode']"
"Ledger, the Digital Asset Security Brand, Introduces New Line of Touchscreen Crypto Wallets",https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2024%2F10%2F03%2Fledger-stax-flex-crypto-wallet-release-info-0tw.jpg?w=1080&cbr=1&q=90&fit=max,"When it comes to digital asset security, Ledger has been an unfaltering leader in the world of cryptocurrency and blockchain technology. Digital assets are becoming increasingly prevalent in our everyday lives, and now more than ever, it’s crucial to have a s…",2024-11-21T14:42:54Z,"['ECOMI', 'Ren']"
Everything Coming To and Leaving Netflix in December 2024,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2024%2F11%2F20%2Fnew-netflix-movies-films-tv-shows-december-2024-tw.jpg?w=1080&cbr=1&q=90&fit=max,"With November coming to an end, Netflix has unveiled its slate of new programming for December 2024.The final month of the year will see the release of the highly-anticipated Squid Game season two, the documentary Avicii - I'm Tim, A Nonsense Christmas with S…",2024-11-21T07:01:03Z,['MON']
Quand les grands noms de la Silicon Valley s’invitent dans l’administration Trump,https://www.presse-citron.net/app/uploads/2024/11/donald-trump-2.jpg,L’effet Elon Musk…,2024-11-27T06:00:09Z,['ICON']
"Google Stadia would’ve been 5 years old today, and I still miss it",https://www.androidauthority.com/wp-content/uploads/2020/05/Google-Stadia-controller-on-table-macro.jpg,"It's been five years since Google Stadia launched, and while I cherish the memories, the world has moved on from cloud gaming.",2024-11-19T17:00:19Z,['DIA']
"Notion AI is a productivity booster, but it’s not for me",https://www.androidauthority.com/wp-content/uploads/2024/11/notion-on-the-phone-scaled.jpg,"Planning, summarizing, and brainstorming — Notion AI can be the ultimate productivity enhancer. But is it worth the subscription?",2024-11-26T14:33:59Z,['Ultima']
Elon Musk and the age of shameless oligarchy,https://platform.vox.com/wp-content/uploads/sites/2/2024/11/GettyImages-2185190580.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,"President-elect Donald Trump and Elon Musk have become an inseparable duo. Since Trump’s reelection, the richest man in the world — and one of Trump’s top campaign donors — has been a shadow trailing him at his Florida residence. The tech billionaire has take…",2024-11-22T19:40:01Z,"['Amp', 'Dent', 'ARC']"
"The US-led crypto rally is leaving its mark in Asia as Bhutan's BTC holdings reached $1.1B, 36% of its GDP, increased trading activity in South Korea, and more (Bloomberg)",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iu1VkyIbIKDg/v0/1200x800.jpg,"Bloomberg:
The US-led crypto rally is leaving its mark in Asia as Bhutan's BTC holdings reached $1.1B, 36% of its GDP, increased trading activity in South Korea, and more  —  - Bhutan's Bitcoin holdings are now equivalent to 36% of GDP  — South Korean crypto …",2024-11-20T06:40:00Z,"['Bitcoin', 'Ark']"
